No,Question,Answer,Category
104,What has a heart that doesn't beat?,Artichoke,Easy
105,"The person who makes it, sells it. The person who buys it never uses it. What is it?",Coffin,Easy
106,What has a neck but no head?,Bottle,Easy
107,What has keys but can't open locks?,Keyboard,Easy
108,What has an endless supply of letters but starts empty?,Mailbox,Easy
109,"What comes once in a minute, twice in a moment, but never in a thousand years?",The letter 'M,Word
110,"What comes once in a year, twice in a month, but never in a day?",The letter 'R',Word
111,What has a face and two hands but no body?,Clock,Kids
112,"I can fly without wings. I can cry without eyes. Wherever I go, darkness follows me. What am I?",Cloud,Kids
113,"What has a head, a tail, is brown, and has no legs?",Penny,Hard
114,"I have cities, but no houses. I have mountains, but no trees. I have water, but no fish. What am I?",Map,Hard
115,What has a mane but can't roar and a tail but can't wag?,Comet,Hard
116,"I'm alive without breath, and cold as death. I'm never thirsty, but always drinking. What am I?",Ice,Hard
117,"What begins with T, ends with T, and has T in it?",Teapot,Easy
118,"What has wings, but can't fly, eyes but can't see, and legs but can't walk?",Windmill,Hard
119,"I can be cracked, made, told, and played. What am I?",Joke,Funny
120,What has a mouth but doesn't eat and a bank without money?,River,Easy
121,I'm a word of letters three; add two and fewer there will be. What word am I?,Few,Word
122,"What has a heart that doesn't beat, and you can find it in salads?",Lettuce,Kids
123,"I'm tall when I'm young, short when I'm old, and have a spine but no bones. What am I?",Book,Kids
124,"What has a heart that doesn't beat, and people often peel and cry over it?",Onion,Funny
125,What has keys but can't open locks and is played with fingers on strings?,Guitar,Easy
126,"What has a handle but no door, and is filled with books?",BookShelf,Easy
127,"I'm alive without breath, and cold as death. I'm never thirsty, but always melting. What am I?",Ice Cream ,Easy
128,"	What has a neck but no head, and you wear it around your waist?",Belt,Kids
129,"I have wings but can't fly, a bed but never sleep, and a source of flowing water. What am I?",Waterfall,Hard
130,"What has a heart that doesn't beat, and people often peel before eating?",Banana,Easy
131,"What has a handle but no door, and you use it to sweep the floor?",Broom,Kids
132,"I have a face but no head, hands but no arms, and you use me to communicate. What am I?",Phone,Easy
133,"What has a handle but no door, and you fill it with hot water to enjoy a warm beverage?",Mug,Kids
134,"What has a mouth but doesn't speak, and you can find it at the beginning of a river?",Source,Hard
135,"I'm not alive, but I can think. I don't have a brain, but I can perform calculations. What am I?",A Computer,Hard
136,"What has four wheels and flies, and you often see it collecting trash?",Garbage Truck,Funny
137,"I have a mouth but can't talk, and you use me to wipe yourself after a shower. What am I?",A Towel,Funny
138,"What can't be put in a saucepan, and you often forget where you placed it?",A Lid,Funny
139,"I have a face with no expressions, a heart with no emotions, and yet people carry me every day. What am I?",A Wallet,Easy
140,"I guard the secrets of the night, with a thousand eyes but no sight. What am I?",Stars,Hard
141,"I'm the beginning of the end, and the end of time and space. I'm essential, but people fear my embrace. What am I?",Death,Hard
142,"	I have a voice but no mouth, wings but can't fly, and you often hear me in the still of the night. What am I?",An Owl,Kids
143,"I have a thousand stories, yet I am silent. I can be opened but never read. What am I?", A Jar,Kids
144,I come in various sizes and shapes. People enjoy rolling me and testing their luck. What am I?,A Dice,Easy
145,"	I'm a piece of furniture designed for relaxation, typically found in the living room. What am I?",A Sofa,Kids
146,I'm a creature that transforms from a caterpillar into a beautiful winged insect. What am I?,A ButterFly,Kids
147,"I'm a mythical creature with a horn on my forehead, often associated with magic. What am I?",An Unicorn,Kids
148,"I'm a large mammal with a trunk and tusks, known for my intelligence. What am I?",An Elephant,Kids
149,"	I'm a creature that lives in the ocean, known for my intelligence and playful behavior. What am I?",A Dolphin,Kids
150,I'm a planet in our solar system known for my beautiful rings. What am I?,Saturn,Easy
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,x,,
201,,,
